 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
737,736,null,Point,none,76,69,1,1,1,red,none,0,9,0,9,0
738,737,null,Point,none,160,197,1,1,1,red,none,0,10,0,10,0
739,738,null,Point,none,87,63,1,1,1,red,none,0,10,0,10,0
740,739,null,Point,none,124,203,1,1,1,red,none,0,12,0,12,0
741,740,null,Point,none,115,50,1,1,1,red,none,0,10,0,10,0
742,741,null,Point,none,142,46,1,1,1,red,none,0,11,0,11,0
743,742,null,Point,none,193,183,1,1,1,red,none,0,13,0,13,0
744,743,null,Point,none,37,150,1,1,1,red,none,0,9,0,9,0
745,744,null,Point,none,37,139,1,1,1,red,none,0,11,0,11,0
746,745,null,Point,none,104,56,1,1,1,red,none,0,12,0,12,0
747,746,null,Point,none,230,123,1,1,1,red,none,0,11,0,11,0
748,747,null,Point,none,221,140,1,1,1,red,none,0,11,0,11,0
749,748,null,Point,none,102,204,1,1,1,red,none,0,12,0,12,0
750,749,null,Point,none,216,64,1,1,1,red,none,0,10,0,10,0
751,750,null,Point,none,83,199,1,1,1,red,none,0,14,0,14,0
752,751,null,Point,none,53,99,1,1,1,red,none,0,11,0,11,0
753,752,null,Point,none,173,190,1,1,1,red,none,0,15,0,15,0
754,753,null,Point,none,153,197,1,1,1,red,none,0,13,0,13,0
755,754,null,Point,none,73,198,1,1,1,red,none,0,11,0,11,0
756,755,null,Point,none,126,51,1,1,1,red,none,0,13,0,13,0
757,756,null,Point,none,187,187,1,1,1,red,none,0,13,0,13,0
758,757,null,Point,none,144,198,1,1,1,red,none,0,14,0,14,0
759,758,null,Point,none,81,67,1,1,1,red,none,0,11,0,11,0
760,759,null,Point,none,233,111,1,1,1,red,none,0,12,0,12,0
761,760,null,Point,none,120,201,1,1,1,red,none,0,14,0,14,0
762,761,null,Point,none,64,191,1,1,1,red,none,0,14,0,14,0
763,762,null,Point,none,99,60,1,1,1,red,none,0,13,0,13,0
764,763,null,Point,none,111,54,1,1,1,red,none,0,13,0,13,0
765,764,null,Point,none,222,73,1,1,1,red,none,0,14,0,14,0
766,765,null,Point,none,234,89,1,1,1,red,none,0,12,0,12,0
767,766,null,Point,none,157,48,1,1,1,red,none,0,13,0,13,0
768,767,null,Point,none,93,65,1,1,1,red,none,0,14,0,14,0
769,768,null,Point,none,166,190,1,1,1,red,none,0,16,0,16,0
770,769,null,Point,none,110,200,1,1,1,red,none,0,15,0,15,0
771,770,null,Point,none,199,59,1,1,1,red,none,0,13,0,13,0
772,771,null,Point,none,181,175,1,1,1,red,none,0,18,0,18,0
773,772,null,Point,none,194,179,1,1,1,red,none,0,15,0,15,0
774,773,null,Point,none,88,190,1,1,1,red,none,0,18,0,18,0
775,774,null,Point,none,226,101,1,1,1,red,none,0,15,0,15,0
776,775,null,Point,none,227,120,1,1,1,red,none,0,13,0,13,0
777,776,null,Point,none,130,190,1,1,1,red,none,0,18,0,18,0
778,777,null,Point,none,118,52,1,1,1,red,none,0,12,0,12,0
779,778,null,Point,none,158,52,1,1,1,red,none,0,15,0,15,0
780,779,null,Point,none,209,143,1,1,1,red,none,0,16,0,16,0
781,780,null,Point,none,95,186,1,1,1,red,none,0,18,0,18,0
782,781,null,Point,none,61,183,1,1,1,red,none,0,17,0,17,0
783,782,null,Point,none,180,54,1,1,1,red,none,0,15,0,15,0
784,783,null,Point,none,145,52,1,1,1,red,none,0,15,0,15,0
785,784,null,Point,none,150,55,1,1,1,red,none,0,17,0,17,0
786,785,null,Point,none,219,114,1,1,1,red,none,0,17,0,17,0
787,786,null,Point,none,124,185,1,1,1,red,none,0,18,0,18,0
788,787,null,Point,none,57,168,1,1,1,red,none,0,18,0,18,0
